id,latitude,longitude,price,,,,,,,,,
16059067,1.34406,103.68659,51,,,,,,,,,
16110969,1.31005,103.85829,279,,,,,,,,,
16118606,1.31721,103.85684,85,,,,,,,,,
16140165,1.31044,103.86078,284,,,,,,,,,
16149105,1.32373,103.91641,180,,,,,,,,,
16149534,1.32516,103.91487,140,,,,,,,,,
16149684,1.32362,103.9146,200,,,,,,,,,
16150227,1.31844,103.91237,100,,,,,,,,,
16150642,1.31703,103.91242,130,,,,,,,,,
16155549,1.33514,103.85017,4000,,,,,,,,,
16177101,1.31252,103.86088,24,,,,,,,,,
16183428,1.31114,103.86054,47,,,,,,,,,
16185665,1.2841,103.84253,40,,,,,,,,,
16206947,1.39604,103.84924,89,,,,,,,,,
16209070,1.2833,103.84368,40,,,,,,,,,
16213115,1.31114,103.86054,225,,,,,,,,,
16213146,1.32796,103.84058,69,,,,,,,,,
16213361,1.35641,103.86726,109,,,,,,,,,
16220808,1.30768,103.8634,49,,,,,,,,,
16243464,1.328848,103.913361,52,,,,,,,,,
16260783,1.3255,103.91599,130,,,,,,,,,
16309636,1.28373,103.84347,88,,,,,,,,,
16351730,1.4623,103.77078,56,,,,,,,,,
16367233,1.27805,103.78794,46,,,,,,,,,
16370834,1.38703,103.87264,90,,,,,,,,,
16395877,1.25312,103.82374,8900,,,,,,,,,
16424205,1.37738,103.7586,180,,,,,,,,,
16427874,1.3117,103.86028,188,,,,,,,,,
16428014,1.3117,103.86028,98,,,,,,,,,
16429519,1.3117,103.86028,67,,,,,,,,,
16462052,1.37723,103.75837,160,,,,,,,,,
